Busroutes,Bus Routes Link,Bus Name,Bus_Type,Starting_Time,Rating,Dropping_Time,Fare,Available Seats,Duration
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 9356,Super Luxury (Non AC Seater 2+2 Push Back),11:30,4.0,06:05,446.0,4,06: 35:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3858,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),11:30,3.6,04:30,720.0,3,05: 00:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3601,Super Luxury (Non AC Seater 2+2 Push Back),12:00,2.5,08:20,446.0,2,08: 20:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 35269,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),12:15,3.5,06:25,683.0,4,06: 10:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3515,Super Luxury (Non AC Seater 2+2 Push Back),12:30,2.0,08:05,446.0,2,07: 35:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3823,Super Luxury (Non AC Seater 2+2 Push Back),12:45,4.0,07:43,444.0,3,06: 58:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3562,Super Luxury (Non AC Seater 2+2 Push Back),12:45,2.7,07:25,414.0,2,06: 40:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 35117,INDRA(A.C. Seater),01:00,3.7,07:09,538.0,2,06: 09:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3549,Super Luxury (Non AC Seater 2+2 Push Back),01:15,4.5,08:00,414.0,2,06: 45:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 21228,Super Luxury (Non AC Seater 2+2 Push Back),01:30,4.0,06:30,436.0,3,05: 00:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 23879,Super Luxury (Non AC Seater 2+2 Push Back),01:50,3.4,06:50,436.0,1,05: 00:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3825,Super Luxury (Non AC Seater 2+2 Push Back),02:00,2.8,08:40,444.0,1,06: 40:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3571,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),02:00,4.0,08:04,720.0,3,06: 04:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 4052,Super Luxury (Non AC Seater 2+2 Push Back),02:00,3.8,08:40,414.0,2,06: 40:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3583,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),02:30,3.8,08:30,720.0,3,06: 00:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3886,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),03:00,4.2,08:00,720.0,3,05: 00:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3525,Super Luxury (Non AC Seater 2+2 Push Back),03:00,3.7,11:00,469.0,4,08: 00:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 35061,Super Luxury (Non AC Seater 2+2 Push Back),03:15,4.0,11:15,469.0,3,08: 00:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 99611,Super Luxury (Non AC Seater 2+2 Push Back),03:20,4.0,07:50,436.0,1,04: 30:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3573,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),03:30,3.1,09:25,683.0,1,05: 55:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 35271,INDRA(A.C. Seater),04:00,4.4,09:50,567.0,4,05: 50:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3585,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),04:30,3.5,10:25,683.0,1,05: 55:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 35133,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),05:00,3.5,10:50,683.0,2,05: 50:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 24251,INDRA(A.C. Seater),05:00,4.3,09:55,528.0,3,04: 55:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 35135,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),05:45,3.9,11:37,683.0,2,05: 52:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 35085,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),06:30,3.1,12:30,683.0,4,06: 00:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3613,Super Luxury (Non AC Seater 2+2 Push Back),07:00,4.1,02:42,469.0,3,07: 42:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 9316,Super Luxury (Non AC Seater 2+2 Push Back),08:20,3.8,04:10,446.0,1,07: 50:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 35189,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),08:30,3.4,01:05,720.0,1,04: 35:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 9651,Super Luxury (Non AC Seater 2+2 Push Back),09:00,4.4,04:41,469.0,3,07: 41:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 4046,Super Luxury (Non AC Seater 2+2 Push Back),09:00,4.1,03:40,446.0,2,06: 40:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 9932,STAR LINER(NON-AC SLEEPER 2+1),09:30,3.7,03:45,578.0,3,06: 15:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 9654,Super Luxury (Non AC Seater 2+2 Push Back),09:40,4.7,05:20,469.0,3,07: 40:00
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 40568,Super Luxury (Non AC Seater 2+2 Push Back),09:42,4.1,06:00,469.0,1,08: 18:00
